Year,Province,WindClass,Capacity
1993,AB,1,0
1994,AB,1,0
1995,AB,1,0
1996,AB,1,0
1997,AB,1,0
1998,AB,1,0
1999,AB,1,0
2000,AB,1,0
2001,AB,1,20.1
2002,AB,1,0
2003,AB,1,0
2004,AB,1,0
2005,AB,1,0
2006,AB,1,0
2007,AB,1,0
2008,AB,1,0
2009,AB,1,0
2010,AB,1,0
2011,AB,1,0
2012,AB,1,0
2013,AB,1,0
2014,AB,1,0
2015,AB,1,0
2016,AB,1,0
2017,AB,1,0
2018,AB,1,0
2019,AB,1,0
1993,AB,2,0
1994,AB,2,0
1995,AB,2,0
1996,AB,2,0
1997,AB,2,0
1998,AB,2,0
1999,AB,2,0
2000,AB,2,0
2001,AB,2,50.5
2002,AB,2,0
2003,AB,2,75.9
2004,AB,2,139
2005,AB,2,0
2006,AB,2,70.5
2007,AB,2,112.6
2008,AB,2,0
2009,AB,2,0
2010,AB,2,86.4
2011,AB,2,0
2012,AB,2,52.9
2013,AB,2,0
2014,AB,2,6
2015,AB,2,0
2016,AB,2,0
2017,AB,2,0
2018,AB,2,0
2019,AB,2,0
1993,AB,3,0
1994,AB,3,0
1995,AB,3,0
1996,AB,3,0
1997,AB,3,0
1998,AB,3,0
1999,AB,3,0
2000,AB,3,0
2001,AB,3,0
2002,AB,3,3.78
2003,AB,3,0
2004,AB,3,30
2005,AB,3,0
2006,AB,3,30
2007,AB,3,0
2008,AB,3,0
2009,AB,3,66
2010,AB,3,138
2011,AB,3,88
2012,AB,3,149.4
2013,AB,3,0
2014,AB,3,298.8
2015,AB,3,29.2
2016,AB,3,0
2017,AB,3,0
2018,AB,3,0
2019,AB,3,0
1993,AB,4,0
1994,AB,4,0
1995,AB,4,0
1996,AB,4,0
1997,AB,4,0
1998,AB,4,0
1999,AB,4,0
2000,AB,4,0
2001,AB,4,0
2002,AB,4,0
2003,AB,4,0
2004,AB,4,0
2005,AB,4,0
2006,AB,4,0
2007,AB,4,0
2008,AB,4,0
2009,AB,4,0
2010,AB,4,0
2011,AB,4,0
2012,AB,4,0
2013,AB,4,0
2014,AB,4,0
2015,AB,4,0
2016,AB,4,0
2017,AB,4,0
2018,AB,4,0
2019,AB,4,0
1993,AB,5,0
1994,AB,5,0
1995,AB,5,0
1996,AB,5,0
1997,AB,5,0
1998,AB,5,0
1999,AB,5,0
2000,AB,5,0
2001,AB,5,0
2002,AB,5,0
2003,AB,5,0
2004,AB,5,0
2005,AB,5,0
2006,AB,5,0
2007,AB,5,0
2008,AB,5,0
2009,AB,5,0
2010,AB,5,0
2011,AB,5,0
2012,AB,5,0
2013,AB,5,0
2014,AB,5,0
2015,AB,5,0
2016,AB,5,0
2017,AB,5,0
2018,AB,5,0
2019,AB,5,0
1993,AB,6,0
1994,AB,6,0
1995,AB,6,0
1996,AB,6,0
1997,AB,6,0
1998,AB,6,0
1999,AB,6,0
2000,AB,6,0
2001,AB,6,0
2002,AB,6,0
2003,AB,6,0
2004,AB,6,0
2005,AB,6,0
2006,AB,6,0
2007,AB,6,0
