Year,Province,WindClass,Capacity
2014,ON,3,59.94
2012,NS,3,31.5
2016,NS,2,6
2018,ON,2,86.4
2007,QC,3,100.5
2010,AB,3,69
2015,ON,4,180
2010,ON,4,10
2015,NS,2,4.6
2016,NS,2,1.6
2016,NS,1,1.7
2006,QC,3,109.5
2015,NS,3,4.6
2015,NS,3,3.2
2015,NS,5,2.35
2009,BC,1,102
2017,ON,3,100
2015,NS,2,1.99
2014,AB,3,298.8
2009,AB,3,66
2014,ON,3,59.2
2014,ON,3,72.9
2015,ON,1,58.32
2014,AB,2,6
2016,NS,1,1.99
2005,NS,1,0.6
2015,AB,3,29.2
2014,BC,2,99
2008,QC,3,109.5
2001,AB,2,44
2012,AB,2,52.9
2013,ON,3,0.8
2015,ON,4,99.96
2006,SK,5,149.4
2011,ON,3,101.2
2014,NS,2,10
2017,NS,2,7.05
2006,AB,3,30
2008,ON,4,9.9
2011,ON,3,165.6
2012,ON,4,22.92
2013,QC,3,23.5
2013,SK,2,0.8
2001,AB,1,19.5
2013,NS,4,2
2008,ON,4,8.25
2003,SK,4,10.56
2009,NS,3,51
2013,QC,2,100
2013,QC,2,135.7
2014,QC,1,21.15
2006,NS,3,0.8
2010,NS,3,30
2011,BC,1,144
2014,ON,3,91.39
2015,ON,3,22.4
2013,ON,3,99
2017,NS,1,16.1
2006,ON,4,99
2013,ON,4,99
2014,ON,1,10
2003,ON,1,0.75
2012,NS,3,4.6
2006,ON,3,5.1
2015,NS,3,1.4
2006,NS,3,1.6
2015,QC,2,24
2014,NS,2,4.6
2016,ON,1,17.6
2017,NS,4,7.05
2013,ON,3,10
2010,AB,2,86.4
2005,NS,5,1.6
2011,NS,3,62.1
2005,NS,2,0.6
2010,ON,3,50.6
2015,ON,3,102.36
2015,ON,2,25.3
2016,ON,4,99.2
2014,ON,3,148.62
2015,ON,3,59.86
2015,NS,2,3.2
2011,ON,2,98.9
2016,ON,2,18.5
2016,ON,2,10
2012,QC,3,211.5
2010,BC,1,1.5
2016,ON,4,18.8
