InstalledCapacity,Area,TurbineCount,BetzPower,Province
59.94,65.382,37,48.9231981,ON
31.5,9.953,15,17.50460129,NS
6,3.608,2,1.846376739,NS
86.4,46.736,27,33.10746827,ON
100.5,43.789,67,56.13490153,QC
69,24.522,23,21.38001676,AB
180,135.868,98,160.2420456,ON
10,3.125,5,3.563538358,ON
4.6,3.768,2,2.172013564,NS
1.6,2.736,1,0.89910503,NS
1.7,3.217,1,0.99771163,NS
109.5,59.326,73,52.26707161,QC
4.6,3.752,2,2.393314359,NS
3.2,3.126,2,1.756856058,NS
2.35,2.727,1,1.871225523,NS
102,12.409,34,9.653872962,BC
100,81.506,49,85.97286277,ON
1.99,3.292,1,1.463418115,NS
298.8,211.59,166,203.9945983,AB
66,21.888,22,19.36835332,AB
59.2,72.155,37,48.73005502,ON
72.9,58.604,45,56.24591345,ON
58.32,43.826,36,32.42401288,ON
6,4.762,3,2.014512162,AB
1.99,3.284,1,0.866518693,NS
0.6,0.747,1,0.088922252,NS
29.2,27.296,17,16.81910972,AB
99,36.88,55,61.53645985,BC
109.5,45.112,73,56.59805165,QC
44,8.634,60,7.785049591,AB
52.9,13.003,33,11.08934031,AB
0.8,0.753,1,0.281543892,ON
99.96,102.06,46,90.34923365,ON
149.4,49.968,83,94.03535309,SK
101.2,142.382,44,58.99711609,ON
10,7.451,5,5.173274459,NS
7.05,4.025,3,2.944930879,NS
30,9.697,20,12.66709001,AB
9.9,16.618,18,19.69998287,ON
165.6,178.362,72,95.43863949,ON
22.92,10.754,10,14.7861546,ON
23.5,10.236,10,11.91973329,QC
0.8,0.87,1,0.254335151,SK
19.5,2.985,15,2.360874974,AB
2,2.172,1,1.124072769,NS
8.25,4.357,5,4.793258433,ON
10.56,15.886,16,4.371934494,SK
51,23.188,34,29.2867713,NS
100,89.19,50,32.50527954,QC
135.7,64.919,59,42.82555966,QC
21.15,16.5,9,6.59486493,QC
0.8,0.752,1,0.216960865,NS
30,8.193,20,17.09585462,NS
144,32.536,48,13.22871345,BC
91.39,60.468,49,59.75220257,ON
22.4,39.591,14,15.78196065,ON
99,108.56,55,57.08565334,ON
16.1,10.476,10,7.860511958,NS
99,65.579,66,57.39700968,ON
99,106.328,55,65.51971383,ON
10,6.981,5,2.613961067,ON
0.75,0.891,1,0.158122194,ON
4.6,2.767,2,1.841266969,NS
5.1,3.851,3,2.261161427,ON
1.4,2.2,1,0.577072021,NS
1.6,0.971,2,0.390692066,NS
24,7.963,12,8.199738503,QC
4.6,2.759,1,0.928284603,NS
17.6,6.831,9,4.519662627,ON
7.05,4.211,3,4.194124796,NS
10,8.172,5,6.226201242,ON
86.4,105.458,51,49.52569927,AB
1.6,7.956,2,0.644077125,NS
62.1,18.436,27,22.42968102,NS
0.6,0.752,1,0.170715876,NS
